"id","wallet","token_name"
466,"SwirlWallet","Dogecoin"
467,"StakedWallet","Dogecoin"
468,"Prodoge","Dogecoin"
469,"OWNR Wallet","Dogecoin"
470,"Jaxx Liberty","Dogecoin"
471,"Coinomi","Dogecoin"
472,"Bitcoin Wallet","Dogecoin"
473,"AnkerPay","Dogecoin"
474,"Exodus","Loopring"
475,"CitoWise","Loopring"
476,"Exodus","0x"
477,"Coinbase Wallet","0x"
478,"CitoWise","0x"
479,"Circle Invest","0x"
480,"Bitcoin Wallet","0x"
481,"Binance App","0x"
482,"Jaxx Liberty","Gnosis"
483,"Exodus","Gnosis"
484,"Coinomi","Gnosis"
485,"Bitcoin Wallet","UNUS SED LEO"
486,"Bitcoin Wallet","Huobi Token"
487,"Exodus","KuCoin Token"
488,"Exodus","Voyager Token"
489,"CitoWise","Voyager Token"
490,"Exodus","Airswap"
491,"Exodus","FunFair"
492,"CitoWise","FunFair"
493,"Jaxx Liberty","Enzyme"
494,"CitoWise","Ontology"
495,"Binance App","Ontology"
496,"Exodus","Polymath Network"
497,"Exodus","Chainlink"
498,"Bitcoin Wallet","Chainlink"
499,"AnkerPay","Chainlink"
500,"Jaxx Liberty","Bancor"
501,"Exodus","Bancor"
502,"Binance App","Bancor"
503,"Exodus","Kyber Network"
504,"CitoWise","Kyber Network"
505,"Exodus","Maker"
506,"CitoWise","Maker"
507,"Bitcoin Wallet","Maker"
508,"Exodus","Quantstamp"
509,"Exodus","Siacoin"
510,"Exodus","Storj"
511,"Jaxx Liberty","SONM"
512,"MyCrypto","Expanse"
513,"Coinomi","Expanse"
514,"Binance App","Pundi X [new]"
515,"Bitcoin Wallet","Cosmos"
516,"Jaxx Liberty","Basic Attention Token"
517,"Exodus","Basic Attention Token"
518,"Coinomi","Basic Attention Token"
519,"CitoWise","Basic Attention Token"
520,"Bitcoin Wallet","Basic Attention Token"
521,"Status","Status"
522,"Jaxx Liberty","Status"
523,"Exodus","Status"
524,"CitoWise","Status"
525,"Binance App","Status"
526,"Coinomi","Steem"
527,"Exodus","Kin"
528,"CitoWise","Kin"
529,"Jaxx Liberty","ReddCoin"
530,"Coinomi","ReddCoin"
531,"Exodus","SingularDTV"
532,"CitoWise","SingularDTV"
533,"Exodus","Lunyr"
534,"Jaxx Liberty","InvestFeed"
535,"Exodus","InvestFeed"
536,"CitoWise","InvestFeed"
537,"Coinomi","Coinlancer"
538,"Monarch","Stellar"
539,"Coinbase Wallet","Stellar"
540,"Circle Invest","Stellar"
541,"Bitcoin Wallet","Stellar"
542,"Binance App","Stellar"
543,"Exodus","Fastcoin"
544,"Edge Wallet","Fastcoin"
545,"Coinomi","Fastcoin"
546,"Exodus","Pandacoin"
547,"Jaxx Liberty","Bata"
548,"Coinomi","Bata"
549,"Trust Wallet","TrueUSD"
550,"Exodus","TrueUSD"
551,"Bitcoin Wallet","TrueUSD"
552,"Binance App","TrueUSD"
553,"Exodus","Decentraland"
554,"Jaxx Liberty","Enjin Coin"
555,"Enjin Wallet","Enjin Coin"
556,"Coinomi","Enjin Coin"
557,"Exodus","WAX"
558,"Trust Wallet","BNB"
559,"Exodus","BNB"
560,"Bitcoin Wallet","BNB"
561,"Binance App","BNB"
562,"AnkerPay","Polygon"
563,"OWNR Wallet","Tether"
564,"Bitpie","Tether"
565,"Bitcoin Wallet","Tether"
566,"Binance App","Tether"
567,"Binance App","Zilliqa"
568,"Exodus","Decred"
569,"Coinomi","Decred"
