"id","company_name","ccy"
348,"Kraken","Gnosis"
349,"Kraken","Ethereum Classic"
350,"Kraken","EOS"
351,"Kraken","Dogecoin"
352,"Kraken","Dash"
353,"Kraken","Cardano"
354,"Kraken","Augur"
355,"Kraken","Bitcoin Cash"
356,"Kraken","Ethereum"
357,"Kraken","Bitcoin"
358,"Bitstamp","Bitcoin Cash"
359,"Bitstamp","Litecoin"
360,"Bitstamp","XRP"
361,"Bitstamp","Ethereum"
362,"Bitstamp","Bitcoin"
363,"Bithumb","PlayCoin [QRC20]"
364,"Bithumb","Zilliqa"
365,"Bithumb","Waltonchain"
366,"Bithumb","HyperCash"
367,"Bithumb","Raiden Network Token"
368,"Bithumb","Qtum"
369,"Bithumb","Populous"
370,"Bithumb","Cybermiles"
371,"Bithumb","SALT"
372,"Bithumb","Ethereum Classic"
373,"Bithumb","Dash"
374,"Bithumb","TRON"
375,"Bithumb","Monero"
376,"Bithumb","Cardano"
377,"Bithumb","Litecoin"
378,"Bithumb","EOS"
379,"Bithumb","Bitcoin Cash"
380,"Bithumb","XRP"
381,"Bithumb","Ethereum"
382,"Bithumb","Bitcoin"
383,"BitGo","Bitcoin"
384,"Blockchain, Inc.","Ethereum"
385,"Blockchain, Inc.","Bitcoin Cash"
386,"Blockchain, Inc.","Bitcoin"
387,"Digital Currency Group","ZenCash"
388,"Digital Currency Group","Zcash"
389,"Digital Currency Group","Madnetwork"
390,"Digital Currency Group","Filecoin"
391,"Digital Currency Group","Ethereum Classic"
392,"Digital Currency Group","Decentraland"
393,"Digital Currency Group","Civic"
394,"Digital Currency Group","Stacks"
395,"Digital Currency Group","Bitcoin Cash"
396,"Digital Currency Group","Bitcoin"
397,"Digital Currency Group","Hedera"
398,"Coinme","Uptoken"
399,"Coinme","Bitcoin"
400,"Xpring","XRP"
401,"MyCointainer","CloakCoin"
402,"MyCointainer","BitGreen"
403,"MyCointainer","Bitcoin Turbo Koin"
404,"MyCointainer","Bitcoin Plus"
405,"MyCointainer","BitCoin One"
406,"MyCointainer","PIVX"
407,"MyCointainer","Rapids"
408,"MyCointainer","Divi"
409,"MyCointainer","Energi"
410,"MyCointainer","Polis"
411,"MyCointainer","Stratis"
412,"MyCointainer","Qtum"
413,"MyCointainer","Waves"
414,"MyCointainer","Litecoin"
415,"MyCointainer","EOS"
416,"MyCointainer","TRON"
417,"MyCointainer","Cardano"
418,"MyCointainer","Bitcoin Cash"
419,"MyCointainer","Ethereum"
420,"MyCointainer","Bitcoin"
421,"Lightning Labs","Bitcoin"
422,"ShortHop","XRP"
423,"ShortHop","Stellar"
424,"ShortHop","Litecoin"
425,"ShortHop","Ethereum"
426,"ShortHop","Bitcoin Cash"
427,"ShortHop","Bitcoin"
428,"ZenLedger","Litecoin"
429,"ZenLedger","Ethereum"
430,"ZenLedger","Bitcoin"
431,"Huobi Global","Monero"
432,"Huobi Global","Steem"
433,"Huobi Global","Zcash"
434,"Huobi Global","IOTA"
435,"Huobi Global","Dash"
436,"Huobi Global","XRP"
437,"Huobi Global","Cardano"
438,"Huobi Global","EOS"
439,"Huobi Global","Litecoin"
440,"Huobi Global","Bitcoin Cash"
441,"Huobi Global","Ethereum"
442,"Huobi Global","Bitcoin"
443,"Huobi Global","Tether"
444,"Huobi Global","Huobi Token"
