"id","product_name","ccy"
288,"KeepKey","Aragon"
289,"KeepKey","Litecoin"
290,"KeepKey","Ethereum"
291,"KeepKey","Dogecoin"
292,"KeepKey","Dash"
293,"KeepKey","Bitcoin Cash"
294,"KeepKey","Bitcoin"
295,"Augur","Single Collateral DAI"
296,"Augur","Ethereum"
297,"Augur","Augur"
298,"Antminer D3 (19.3 GH/s)","CoinonatX"
299,"Antminer D3 (19.3 GH/s)","Vault Coin"
300,"Antminer D3 (19.3 GH/s)","Startcoin"
301,"Antminer D3 (19.3 GH/s)","SmartCoin"
302,"Antminer D3 (19.3 GH/s)","Save and Gain"
303,"Antminer D3 (19.3 GH/s)","Prime-XI"
304,"Antminer D3 (19.3 GH/s)","Onix"
305,"Antminer D3 (19.3 GH/s)","MonetaryUnit"
306,"Antminer D3 (19.3 GH/s)","MarxCoin"
307,"Antminer D3 (19.3 GH/s)","Marijuanacoin"
308,"Antminer D3 (19.3 GH/s)","Kurrent"
309,"Antminer D3 (19.3 GH/s)","Influxcoin"
310,"Antminer D3 (19.3 GH/s)","Happycoin"
311,"Antminer D3 (19.3 GH/s)","Granite"
312,"Antminer D3 (19.3 GH/s)","Eryllium"
313,"Antminer D3 (19.3 GH/s)","Eternity"
314,"Antminer D3 (19.3 GH/s)","DigitalPrice"
315,"Antminer D3 (19.3 GH/s)","Cream"
316,"Antminer D3 (19.3 GH/s)","CrevaCoin"
317,"Antminer D3 (19.3 GH/s)","Centurion"
318,"Antminer D3 (19.3 GH/s)","Coin(O)"
319,"Antminer D3 (19.3 GH/s)","CannabisCoin"
320,"Antminer D3 (19.3 GH/s)","BowsCoin"
321,"Antminer D3 (19.3 GH/s)","Bolivarcoin"
322,"Antminer D3 (19.3 GH/s)","Aston"
323,"Antminer D3 (19.3 GH/s)","Advanced Technology Coin"
324,"Antminer D3 (19.3 GH/s)","Adzcoin"
325,"Antminer D3 (19.3 GH/s)","Dash"
326,"Antminer S9 (14 TH/s)","Bitcoin"
327,"Antminer D3","Dash"
328,"Nvidia GeForce GTX 1070 Ti Founder’s Edition","Zcash"
329,"Nvidia GeForce GTX 1070 Ti Founder’s Edition","Ethereum"
330,"Nvidia GeForce GTX 1070 Founders Edition","Zcash"
331,"Nvidia GeForce GTX 1070 Founders Edition","Ethereum"
332,"0x","Ethereum"
333,"0x","0x"
334,"AMD Radeon RX 480","Pirl"
335,"AMD Radeon RX 480","Ellaism"
336,"AMD Radeon RX 480","Expanse"
337,"AMD Radeon RX 480","Musicoin"
338,"AMD Radeon RX 480","Ubiq"
339,"AMD Radeon RX 480","Metaverse ETP"
340,"AMD Radeon RX 480","Ethereum Classic"
341,"AMD Radeon RX 480","Zcash"
342,"AMD Radeon RX 480","Ethereum"
343,"MyEtherWallet","Ethereum"
344,"Antminer E3","Musicoin"
345,"Antminer E3","Ethereum Classic"
346,"Antminer E3","Ethereum"
347,"Antminer X3 (220 kH/s)","Sumokoin"
348,"Antminer X3 (220 kH/s)","Dinastycoin"
349,"Antminer X3 (220 kH/s)","Karbo"
350,"Antminer X3 (220 kH/s)","Bytecoin"
351,"Antminer X3 (220 kH/s)","Monero Classic"
352,"Antminer X3 (220 kH/s)","Monero Original"
353,"Antminer X3 (220 kH/s)","Electroneum"
354,"Antminer L3++ (580 MH/s)","Emerald Crypto"
355,"Antminer L3++ (580 MH/s)","Gulden"
356,"Antminer L3++ (580 MH/s)","Auroracoin"
357,"Antminer L3++ (580 MH/s)","FLO"
358,"Antminer L3++ (580 MH/s)","GameCredits"
359,"Antminer L3++ (580 MH/s)","Einsteinium"
360,"Antminer L3++ (580 MH/s)","DigiByte"
361,"Antminer L3++ (580 MH/s)","Dogecoin"
362,"Antminer L3++ (580 MH/s)","Verge"
363,"Antminer L3++ (580 MH/s)","Litecoin"
364,"Antminer Z9","Flux"
365,"Antminer Z9","Zero"
366,"Antminer Z9","BitcoinZ"
367,"Antminer Z9","ZClassic"
368,"Antminer Z9","Komodo"
369,"Antminer Z9","Bitcoin Private"
370,"Antminer Z9","Hush"
371,"Antminer Z9","ZenCash"
372,"Antminer Z9","Bitcoin Gold"
373,"Antminer Z9","Zcash"
