"id","person_name","work"
165,"Chris Jones","Aquagenuity - COO & Co-Founder"
166,"Charles Hoskinson","The Bitcoin Education Project - Director"
167,"Charles Hoskinson","Cardano -Creator"
168,"Charles Hoskinson","Input Output -CEO"
169,"Kory Hoang","University of Washington Bothell School of Business - Advisory Board Member"
170,"Kory Hoang","Stably -CEO & Co-Founder"
171,"Leon Li","Huobi Global -CEO & Founder"
172,"Spencer Dinwiddie","K8IROS - Founder"
173,"Spencer Dinwiddie","Dinwiddie Family Foundation - Founder"
174,"Spencer Dinwiddie","Brooklyn Nets - Professional Athlete"
175,"Michael Arrington","Arrington XRP Capital -Partner"
176,"Taylor Monahan","MyCrypto -Founder & CEO"
177,"Edward Moncada","InstaDApp - Advisor"
178,"Edward Moncada","Blockfolio -Co-Founder & CEO"
179,"Adam White","Bakkt -COO"
180,"Fred Ehrsam","Paradigm - Co-Founder"
181,"Kosala Hemachandra","EnKryptIO - Founder"
182,"Kosala Hemachandra","Nanopuppet - Co-Founder & CIO"
183,"Kosala Hemachandra","MyEtherWallet -CEO & Founder"
184,"Michael Novogratz","NYU Lagone Health - Member of the Board of Trustees"
185,"Michael Novogratz","Beat the Streets Wrestling -Inc. - Chairman"
186,"Michael Novogratz","Galaxy Digital -CEO"
187,"David Marcus","Meta -Head of Calibra"
188,"David Marcus","Libra -Co-Creator"
189,"Su Zhu","Three Arrows Capital - Co-Founder -CEO & CIO"
190,"Maxine Ryan","Bitspark -COO & Co-Founder"
191,"Alex Krüger","Aike Capital - Founder"
192,"Ryan Sean Adams","Mythos Capital - Founder"
193,"George Harrap","Bitspark -CEO & Co-Founder"
194,"John McAfee","Team McAfee - CEO"
195,"Lawrence Lerner","CoinBeyond - Board Advisor"
196,"Lawrence Lerner","Ottemo - Board Advisor"
197,"Lawrence Lerner","Denny Hill Capital - Venture Partner"
198,"Lawrence Lerner","LERNER Consulting - Managing Director"
199,"Lawrence Lerner","Pithia -CEO"
200,"Lawrence Lerner","WTIA Cascadia Blockchain Council -Board Member and Co-Founder"
201,"Lawrence Lerner","Dragonchain -President of Consulting"
202,"Charlie Lee","Litecoin Foundation -Managing Director"
203,"Charlie Lee","Litecoin -Creator"
204,"Vitalik Buterin","Kyber Network -Advisor"
205,"Vitalik Buterin","Advisor"
206,"Vitalik Buterin","Ethereum Foundation -Foundation Council"
207,"Vitalik Buterin","Ethereum -Co-Founder"
208,"Da Hongfei","Onchain - CEO"
209,"Da Hongfei","Neo -Founder"
210,"Travis Kling","Ikigai Asset Management - CIO & Founder"
211,"David Sønstebø","IOTA Foundation -Co-Chairman of the Board of Directors"
212,"David Sønstebø","IOTA -Co-Founder"
213,"Caitlin Long","State of Wyoming Legislature - Gubernatorial Appointee -Wyoming Blockchain Task Force"
214,"Caitlin Long","WyoHackathon - Chairman"
215,"Sasha Ivanov","Primalbase Token -Member of the Advisor Board"
216,"Sasha Ivanov","Vostok Project - Founder & CEO"
217,"Sasha Ivanov","Waves -Founder & CEO"
218,"Joseph Muscat","Malta - Prime Minister"
219,"Paolo Ardoino","Tether -CTO"
220,"Paolo Ardoino","Bitfinex -CTO"
221,"Jean-Louis van der Velde","Bitfinex -CEO"
222,"James Todaro","MedX Protocol - CEO"
223,"James Todaro","Blowntown Capital - Managing Partner"
224,"Jay Clayton","U.S. SEC - Chairman"
225,"Jack Dorsey","Twitter - Co-Founder & CEO"
226,"Jack Dorsey","Cash App -Founder & CEO"
227,"Zooko Wilcox","Bolt Labs - Advisor"
228,"Zooko Wilcox","Brave Browser -Advisor"
229,"Zooko Wilcox","Tezos -Advisor"
230,"Zooko Wilcox","Least Authority Enterprises - Founder & CEO"
231,"Zooko Wilcox","Electric Coin Company - Founder & CEO"
232,"Zooko Wilcox","Zcash -Founder & CEO"
233,"Dominik Schiener","IOTA Foundation -Co-Chairman of the Board of Directors"
234,"Dominik Schiener","IOTA -Co-Founder"
235,"Ari Paul","BlockTower Capital -Co-Founder & CIO"
236,"Elizabeth Stark","Coin Center -Fellow"
237,"Elizabeth Stark","Lightning Labs -CEO & Co-Founder"
238,"Marco Streng","Hive Blockchain Technologies - Advisor"
239,"Marco Streng","Logos Fund - Founder"
240,"Marco Streng","Genesis Mining -Co-Founder"
241,"Marco Streng","Genesis Group -CEO & Co-Founder"
242,"Jack Lu","Wanchain -Founder & CEO"
243,"Craig Wright","nChain -Chief Scientist"
244,"Chris Larsen","Ripple -Executive Chairman"
245,"Robert Beadles","Splash Factory LLC - CEO"
246,"Robert Beadles","TradingView - TV Show Host"
247,"Robert Beadles","CryptoBeadles - Host"
248,"Robert Beadles","Monarch -President"
249,"Alex Mashinsky","Governing Dynamics - Founder & Managing Partner"
250,"Alex Mashinsky","Celsius Network -CEO"
251,"Changpeng Zhao","Binance -CEO & Co-Founder"
252,"Cal Evans","The British Blockchain Association - Board Member"
253,"Cal Evans","Gresham International -Managing Associate"
254,"Yi He","Binance -CMO & Co-Founder"
255,"Rune Christensen","MakerDAO -CEO & Founder"
256,"Steven Becker","Cubit Capital - Founder"
257,"Steven Becker","MakerDAO -President and COO"
258,"Sam Williams","Technical Advisor - Minespider"
259,"Sam Williams","LAG Foundation - Voting Member"
260,"Sam Williams","Arweave -Founder"
261,"Arthur Breitman","Tezos -CTO & Co-Founder"
262,"Kathleen Breitman","Tezos -CEO & Co-Founder"
263,"Ivan Bjelajac","Celsius -Advisory Board"
264,"Ivan Bjelajac","MVP Workshop -CEO & Co-Founder"
265,"Ethan Fast","City of Zion - Co-Founder"
266,"Ethan Fast","Nash -CTO & Co-Founder"
267,"Tony Tran","Quadency -CTO & Co-Founder"
268,"Erik Zhang","Onchain - CTO"
269,"Erik Zhang","Neo Foundation -Chairman"
270,"Erik Zhang","Neo -Co-Founder & Core Developer"
271,"Pat Larsen","Viral Content System - Head of Product"
272,"Pat Larsen","ZenLedger -CEO & Co-Founder"
273,"Gregory Klumov","STASIS -CEO & Co-Founder"
274,"Jörg Molt","Book Author - The Bitcoin Generation"
275,"Jörg Molt","Satoshi School - CEO"
276,"Nejc Kodrič","Bitstamp -CEO & Co-Founder"
277,"Joost Jager","Lightning Labs -Lightning Infrastructure Engineer"
278,"Will Harborne","Nectar -Creator"
279,"Will Harborne","DeversiFi -Co-Founder & Strategy"
280,"Rosh Singh","Quadency -CEO & Co-Founder"
281,"Kyle Samani","Multicoin Capital -Co-Founder & Managing Partner"
282,"Narek Gevorgyan","CoinStats -CEO & Founder"
283,"Micree Zhan","Bitmain -Former CEO & Co-Founder"
284,"Sergey Nazarov","SmartContract -CEO & Founder"
285,"Sergey Nazarov","Chainlink -Creator"
286,"Richie Lai","Bittrex -Co-Founder and CIO"
287,"Matej Michalko","SophiaTX - Advisor"
288,"Matej Michalko","ALAX.io - Founder"
289,"Matej Michalko","DECENT -CEO & Founder"
290,"Calvin Ayre","CoinGeek - Founder"
291,"Calvin Ayre","Ayre Group - Founder"
292,"Calvin Ayre","Bitcoin SV -Advocate"
293,"Farbood Nivi","Coinmine -CEO & Co-Founder"
294,"Bobby Lee","Bitcoin Foundation -Member -Board of Directors"
295,"Bobby Lee","Ballet - CEO & Founder"
296,"Jeffrey Wilcke","Grid Games - Co-Founder"
297,"Anthony Di lorio","Decentral.tv - CEO & Founder"
298,"Anthony Di lorio","University of Toronto - Adjunct Professor"
299,"Anthony Di lorio","Decentral - CEO & Founder"
300,"Hudson Jameson","Hudsworth Consulting - CEO"
301,"Hudson Jameson","Oaken Innovations - Co-Founder -Chief Operating Officer -and Blockchain Lead"
302,"Hudson Jameson","Ethereum Foundation -Developer -DevOps -Comms"
303,"Gavin Anderson","Bitcoin Foundation -Chief Scientist"
304,"Pierre Rochard","Software Engineer - Axial"
