"id","sector","token_name"
317,"PoW","Hdac"
318,"IoT","Hdac"
319,"Coin","Hdac"
320,"PoW","Zen Protocol"
321,"PoS","Zen Protocol"
322,"Inactive","Zen Protocol"
323,"Coin","Zen Protocol"
324,"PoW","XYLO"
325,"PoS","XYLO"
326,"Inactive","XYLO"
327,"Coin","XYLO"
328,"Travel","TravelChain"
329,"PoS","TravelChain"
330,"Coin","TravelChain"
331,"PoW","Santa Coin"
332,"Inactive","Santa Coin"
333,"Coin","Santa Coin"
334,"PoS","VINChain"
335,"Coin","VINChain"
336,"PoW","Publiq"
337,"Coin","Publiq"
338,"Storage","TopiaCoin"
339,"Coin","TopiaCoin"
340,"PoW","GlassCoin"
341,"PoS","GlassCoin"
342,"Inactive","GlassCoin"
343,"Coin","GlassCoin"
344,"PoW","Mutual Coin"
345,"PoS","Mutual Coin"
346,"Coin","Mutual Coin"
347,"PoW","Boolberry"
348,"Coin","Boolberry"
349,"PoW","InfChain"
350,"Inactive","InfChain"
351,"Coin","InfChain"
352,"Privacy","Copico"
353,"PoS","Copico"
354,"Inactive","Copico"
355,"Coin","Copico"
356,"PoS","ZoZoCoin"
357,"Inactive","ZoZoCoin"
358,"Coin","ZoZoCoin"
359,"PoW","WINCOIN"
360,"PoS","WINCOIN"
361,"Coin","WINCOIN"
362,"PoW","Wowcoin"
363,"PoS","Wowcoin"
364,"Inactive","Wowcoin"
365,"Coin","Wowcoin"
366,"Abandoned","Wowcoin"
367,"PoS","Magnetcoin"
368,"Inactive","Magnetcoin"
369,"Coin","Magnetcoin"
370,"PoS","TheCreed"
371,"Coin","TheCreed"
372,"Abandoned","TheCreed"
373,"PoS","UNCoin"
374,"Inactive","UNCoin"
375,"Coin","UNCoin"
376,"Abandoned","UNCoin"
377,"PoW","TeraCoin"
378,"Inactive","TeraCoin"
379,"Coin","TeraCoin"
380,"Abandoned","TeraCoin"
381,"PoW","Quebecoin"
382,"Coin","Quebecoin"
383,"Abandoned","Quebecoin"
384,"PoS","Dubstep"
385,"Coin","Dubstep"
386,"Abandoned","Dubstep"
387,"PoW","Excelcoin"
388,"Coin","Excelcoin"
389,"PoS","Cycling Coin"
390,"Coin","Cycling Coin"
391,"Abandoned","Cycling Coin"
392,"PoS","CyberCoin"
393,"Coin","CyberCoin"
394,"Abandoned","CyberCoin"
395,"PoW","Donationcoin"
396,"Coin","Donationcoin"
397,"PoS","AvatarCoin"
398,"Coin","AvatarCoin"
399,"Abandoned","AvatarCoin"
400,"PoW","T-coin"
401,"Inactive","T-coin"
402,"Coin","T-coin"
403,"Abandoned","T-coin"
404,"PoS","RHFCoin"
405,"Inactive","RHFCoin"
406,"Coin","RHFCoin"
407,"Abandoned","RHFCoin"
408,"PoS","Wowecoin"
409,"Inactive","Wowecoin"
410,"Coin","Wowecoin"
411,"Abandoned","Wowecoin"
412,"PoW","VegasCoin"
413,"Inactive","VegasCoin"
414,"Gambling","VegasCoin"
415,"Coin","VegasCoin"
416,"Abandoned","VegasCoin"
417,"PoW","Xaucoin"
418,"Coin","Xaucoin"
419,"Abandoned","Xaucoin"
420,"PoS","The Vegan Initiative"
421,"Coin","The Vegan Initiative"
422,"Abandoned","The Vegan Initiative"
423,"PoW","MMXVI"
424,"Coin","MMXVI"
425,"Abandoned","MMXVI"
426,"PoS","Fonziecoin"
427,"Inactive","Fonziecoin"
428,"Coin","Fonziecoin"
429,"Abandoned","Fonziecoin"
430,"PoW","BitAlphaCoin"
431,"Coin","BitAlphaCoin"
432,"Abandoned","BitAlphaCoin"
433,"PoS","LAthaan"
434,"Coin","LAthaan"
435,"Abandoned","LAthaan"
436,"PoS","microCoin"
437,"Coin","microCoin"
438,"Abandoned","microCoin"
439,"PoW","LinkedCoin"
440,"Coin","LinkedCoin"
441,"PoW","PayPeer"
442,"PoS","PayPeer"
443,"Coin","PayPeer"
444,"Abandoned","PayPeer"
445,"PoW","DynamicCoin"
446,"Inactive","DynamicCoin"
447,"Coin","DynamicCoin"
448,"PoW","Global Business Revolution"
449,"Inactive","Global Business Revolution"
450,"Coin","Global Business Revolution"
451,"Abandoned","Global Business Revolution"
452,"PoS","TrickyCoin"
453,"Coin","TrickyCoin"
454,"Abandoned","TrickyCoin"
455,"PoW","TopCoin"
456,"PoS","TopCoin"
