"id","company_name","team"
199,"Digital Asset Management","Sam BuxtonCo Founder and CEO"
200,"BitGo","Will O'BrienFormer Co-founder"
201,"BitGo","Ben DavenportFormer Co-Founder"
202,"BitGo","Benedict ChanCTO"
203,"BitGo","Mike BelsheCEO & Co-founder"
204,"Conversion Wizards","Jon PowellPrincipal Consultant"
205,"Conversion Wizards","Yinso ChenCTO/Principal Consultant (Data Science)"
206,"Conversion Wizards","Jasper KuriaManaging Partner & Chief Optimizer"
207,"Chainalysis","Jonathan LevinCOO, Co-Founder"
208,"Chainalysis","Jan MollerCTO, Co-Founder"
209,"Chainalysis","Michael Gronager, PhDCEO, Co-Founder"
210,"Blockchain, Inc.","Peter WilsonVP Engineering"
211,"Blockchain, Inc.","Chris LaveryVP Finance & Operations"
212,"Blockchain, Inc.","Matt TuzzoloCTO"
213,"Blockchain, Inc.","Marco SantoriPresident & Chief Legal Officer"
214,"Blockchain, Inc.","Liana Douillet GuzmanCOO"
215,"Blockchain, Inc.","Nicolas CaryCo-Founder & Vice Chairman"
216,"Blockchain, Inc.","Peter SmithCEO & Co-Founder"
217,"Issuance","Christian SheltonCo-founder & CMO"
218,"Issuance","Darren MarbleCo-founder & CEO"
219,"BlockVC","Yanbo LiTechnical Advisor"
220,"BlockVC","Alan LeeCOO"
221,"BlockVC","Kira SunInvestment Manager"
222,"BlockVC","Chong WangCIO"
223,"BlockVC","Kevin HsuFounder"
224,"Node Capital","Jun DuFounder | CEO"
225,"Blockchain Capital","Brock PierceFormer Co-founder"
226,"Blockchain Capital","W. Bradford StephensCo-founder & Managing Partner"
227,"Blockchain Capital","P. Bart StephensCo-founder & Managing Partner"
228,"Andreessen Horowitz","Katie HaunGeneral Partner, a16z crypto"
229,"Andreessen Horowitz","Jesse WaldenInvestment Team, a16z crypto"
230,"Andreessen Horowitz","Hilary KivitzOperations, a16z crypto"
231,"Andreessen Horowitz","Denis NazarovInvestment Team, a16z crypto"
232,"Andreessen Horowitz","Dan BonehResearch Partner, a16z crypto"
233,"Andreessen Horowitz","Corban BellFinance & Operations, a16z crypto"
234,"Andreessen Horowitz","Chris DixonGeneral Partner, a16z crypto"
235,"Andreessen Horowitz","Ali YahyaInvestment Team, a16z crypto"
236,"Andreessen Horowitz","Marc AndreessenCo-founder and General Partner"
237,"Andreessen Horowitz","Ben HorowitzCo-founder and General Partner"
238,"Pantera Capital","Jed McCalebSenior Advisor"
239,"Pantera Capital","Paul BrodskyPartner"
240,"Pantera Capital","Paul VeradittakitPartner"
241,"Pantera Capital","Lauren StephanianInvestment Associate"
242,"Pantera Capital","Ryan DavisChief Financial Officer"
243,"Pantera Capital","Matt Gorham, CFAChief Operating Officer"
244,"Pantera Capital","Bill HealyPresident"
245,"Pantera Capital","Joey KrugCo-Chief Investment Officer"
246,"Pantera Capital","Dan MoreheadCo-Founder & CEO"
247,"Digital Currency Group","Matt TurckInvestment Committee | Managing Director, Firstmark Capital"
248,"Digital Currency Group","Matt HarrisInvestment Committee | Managing Director, Bain Capital Ventures"
249,"Digital Currency Group","Jim RobinsonInvestment Committee | Managing Partner, Rre Ventures"
250,"Digital Currency Group","Lawrence H. SummersBoard Advisor"
251,"Digital Currency Group","Lawrence LenihanBoard Member | Investment Committee | Co-CEO & Co-founder, Resonance"
252,"Digital Currency Group","Glenn HutchinsBoard Member | Co-founder, Silver Lake"
253,"Digital Currency Group","Christiane ShawExecutive Assistant"
254,"Digital Currency Group","Whitney SimmonsOffice Manager"
255,"Digital Currency Group","Larry SukernikAnalyst, Investments"
256,"Digital Currency Group","Jigar ShahAssistant Controller"
257,"Digital Currency Group","Simi WurtzelVP, Finance"
258,"Digital Currency Group","Casey TaylorDirector, Development"
259,"Digital Currency Group","Mark MurphyVP, Public Affairs"
260,"Digital Currency Group","Travis ScherVP, Investments"
261,"Digital Currency Group","Barry SilbertCEO & Founder"
262,"CrowdfundX","Lizzy EddyPaid Media Manager"
263,"CrowdfundX","Robert ChandlerStrategic Consultant"
264,"CrowdfundX","Gabriela MezaExecutive Assistant"
265,"CrowdfundX","Vanessa BristContent Marketing Manager"
266,"CrowdfundX","AJ YaspanDigital Marketing Manager"
267,"CrowdfundX","Aaron MendezDirector of Marketing"
268,"CrowdfundX","Christian SheltonDirector of Production and Delivery"
269,"CrowdfundX","Darren MarbleCEO"
270,"Gresham International","Cal EvansManaging Consultant"
271,"Bitmain","Micree ZhanFormer Co-Founder"
272,"Bitmain","Jihan WuCo-Founder"
273,"InboundJunction","Ben JacobsoSenior Content Strategist"
274,"InboundJunction","Orian TalVP of Operations"
275,"InboundJunction","Itai ElizurCOO"
276,"InboundJunction","Elad MorPresident"
277,"InboundJunction","Ofir EnglinCBDO"
278,"InboundJunction","Nadav DaknerCEO"
279,"Omise","June SeahChief Business Development Officer"
280,"Omise","Luke ChengChief Financial Officer"
281,"Omise","Robin ClartChief Technology Officer"
282,"Omise","Frederico AraujoChief Information Officer"
283,"Omise","Ezra Don HarinsutCOO / Co-Founder"
284,"Omise","Jun HasegawaCEO / Founder"
285,"Coin Center","Susan AtheyBoard of Directors | Professor of Economics at Stanford Graduate School of Business"
286,"Coin Center","Wences CasaresBoard of Directors | CEO of Xapo, Board Member of PayPal"
287,"Coin Center","Balaji SrinivasanBoard of Directors"
288,"Coin Center","Alex MorcosBOD | Co-founder of Chaincode Labs and Hudson River Trading"
289,"Coin Center","Antonie HodgeOperations Director"
290,"Coin Center","Neeraj K. AgrawalCommunications Director"
291,"Coin Center","Peter Van ValkenburghResearch Director"
292,"Coin Center","Robin WeismanSenior Policy Counsel"
293,"Coin Center","Jerry BritoExecutive Director | BOD"
294,"Reflective Ventures","Shahan KhoshafianSenior Associate"
295,"Reflective Ventures","Jon WestChief Strategy Officer"
296,"Reflective Ventures","Lee CarterPrincipal"
297,"Reflective Ventures","Kevin ValentineVenture Partner"
298,"Reflective Ventures","Mrinal ManoharVenture Partner"
299,"Reflective Ventures","Steve CareagaGeneral Partner"
300,"Reflective Ventures","David OttoGeneral Partner"
301,"Reflective Ventures","Greg HeussManaging Partner"
302,"Coinme","Michael SmyersCo-Founder, Engineering and Product"
303,"Coinme","Neil BergquistCo-Founder and CEO"
304,"TF Blockchain","Jonathan G. BlancoCEO & Founder"
305,"Arrington XRP Capital","Geoffrey AronePartner"
306,"Arrington XRP Capital","Heather HardePartner"
307,"Arrington XRP Capital","Michael ArringtonPartner"
308,"Pithia","Ed EykholtFounder & Board Member"
309,"Pithia","Greg MeredithFounder & Board Member"
310,"Pithia","Tamara RogersGeneral Counsel"
311,"Pithia","Navneet SumanManaging Director"
312,"Pithia","Rolland WatersManaging Director"
313,"Pithia","Lawrence LernerCEO & Board Member"
314,"New Alchemy","Ted LeungChief Technology Officer"
315,"New Alchemy","JC FigueroaDirector of Operations"
316,"New Alchemy","Peter BrownVice President of Sales"
317,"New Alchemy","Kenneth EverettDirector of Engineering"
318,"New Alchemy","Gwen SheridanChief Operating Officer"
319,"New Alchemy","Martin GarthwaiteGeneral Counsel"
320,"New Alchemy","Byron NutleyChief Financial Officer"
321,"New Alchemy","Hans OlsenPresident"
322,"New Alchemy","Peter VessenesFounder, Chairman"
323,"Bloccelerate","Sheikh Mohammed IrfanVP of Global Operations"
324,"Bloccelerate","Kate MitselmakherCEO & Founder"
325,"CryptoLaw Partners","Gordon H. EinsteinFounding Partner"
326,"Perkins Coie LLP","Steven HedbergChief Operating Officer, Staff Leadership"
327,"Perkins Coie LLP","David F. McSheaExecutive Committee Chair (Seattle)"
328,"Perkins Coie LLP","John DevaneyManagement Committee Chair (Washington, D.C.)"
329,"MarketAcross","Kim BazakAccount Manager"
330,"MarketAcross","Nadav DaknerFounder"
331,"MarketAcross","Elad MorFounder & CEO"
332,"Lightning Labs","Joost JagerLightning Infrastructure Engineer"
333,"Lightning Labs","Bryan VuVP of Product"
334,"Lightning Labs","Olaoluwa OsuntokunCTO & Co-Founder"
335,"Lightning Labs","Joseph PoonCo-Founder"
336,"Lightning Labs","Elizabeth StarkCEO & Co-Founder"
337,"YAP Global","Samantha YapFounder, Media Strategist"
338,"#Hashed","Alex ShinChief Business Officer"
339,"#Hashed","Jinwoo ParkChief Software Architect"
340,"#Hashed","Ryan Sungho KimChief Acceleration Officer"
341,"#Hashed","Ethan Kyuntae KimChief Technology Officer"
342,"#Hashed","Hwisang KimChief Investment Officer"
343,"#Hashed","Simon Seojoon KimChief Executive Officer"
344,"Truffle","Nick PaternoBlockchain Engineer"
345,"Truffle","Mike SeeseTechnical Lead for Truffle Teams"
346,"Truffle","Josh QuintalHead of Product & Marketing"
347,"Truffle","Kevin BluerHead of Curriculum & Training"
348,"Truffle","Nick D'AndreaHead of Engineering"
349,"Truffle","Adrian LiSoftware Development Lead - Front-end"
350,"Truffle","Wes McVayVice President, Global Strategic Partnerships"
351,"Truffle","Tim CoulterFounder & CEO"
352,"ShortHop","Lindsay Danas CohenCOO and General Counsel"
353,"ShortHop","William KinneyCTO & Co-Founder"
354,"ShortHop","Jonathan KelferCEO & Co-Founder"
355,"ZenLedger","Saqib RasoolCRO"
356,"ZenLedger","Drew NordstromPresident"
357,"ZenLedger","Bryan StarbuckCTO"
358,"ZenLedger","Pat LarsenCEO"
359,"Huobi Global","Shupeng WuChief Security Officer"
360,"Huobi Global","Chris LeeChief Financial Officer & Board Secretary"
361,"Huobi Global","Jiawei ZhuChief Operating Officer"
362,"Huobi Global","Xianfeng ChengChief Technology Officer"
363,"Huobi Global","Leon LiChairman, Founder & CEO"
364,"BTSE","Yew Chong QuakCTO"
365,"BTSE","Joshua SohCOO"
366,"BTSE","Brian WongCo-Founder"
367,"BTSE","Jonathan LeongCEO & Co-Founder"
368,"Stellar Development Foundation","Jed McCalebFounder and Chief Architect"
369,"Stellar Development Foundation","Denelle DixonCEO and Executive Director"
370,"Conflux","Ming WuCTO"
371,"Conflux","Wei XuResearch Scientist"
372,"Conflux","Andrew Chi-Chih YaoChief Scientist"
373,"Conflux","Fan LongFounder"
374,"Ethereum Foundation","Jeffrey WilckeFormer Technical Steering Group | Co-Founder of Ethereum"
375,"Ethereum Foundation","Virgil GriffithResearch Scientist"
376,"Ethereum Foundation","Patrick StorcheneggerFoundation Council | Attorney at Law & Notary Public"
377,"Ethereum Foundation","Vitalik ButerinFoundation Council | Creator of Ethereum"
378,"IOTA Foundation","Serguei PopovMember Board of Directors & Founder"
379,"IOTA Foundation","Dominik SchienerCo-Chairman of the Board of Directors & Co-Founder"
380,"IOTA Foundation","David SønstebøCo-Chairman of the Board of Directors & Co-Founder"
381,"ZBG","Olesia ProkopenkoHead Of International Business Development"
382,"ZBG","Allen CheungCTO"
383,"ZBG","Jacky LeeCOO"
384,"ZBG","Lizzie LoCMO"
385,"ZBG","Omar ChenCo-founder, CEO"
386,"ChangeNOW","Pauline ShangettCMO"
387,"Decoin","Nadav MosheFounder & CTO"
388,"Decoin","Shay PerryCEO"
389,"Cartesi","Colin SteilChief Operating Officer"
390,"Cartesi","Diego Nehab, PhDChief Technology Officer"
391,"Cartesi","Augusto Teixeira, PhDChief Scientific Officer"
392,"Cartesi","Erick de MouraChief Executive Officer"
393,"FTX","Gary WangCTO"
394,"FTX","Sam Bankman-FriedCEO"
395,"Bitwise","John Hyland, CFAGlobal Head of Exchange Traded Products"
396,"Bitwise","Martha ShearMD, Head of Business Development"
397,"Bitwise","Matt HouganGlobal Head of Research"
398,"Bitwise","Teddy FusaroCOO"
399,"Bitwise","Hong KimCTO"
400,"Bitwise","Hunter HorsleyCEO"
401,"TokenMinds","Chris YeongBusiness Development Specialist"
402,"TokenMinds","Wilhelm PabstSenior Marketing Project Manager"
403,"TokenMinds","Simonas RadkeviciusSenior Consultant"
404,"TokenMinds","Anchor ChanSenior Consultant"
405,"TokenMinds","Rob EijgenraamFounder, Director"
406,"TokenAnalyst","Simon O'Hanlon, PhD"
407,"TokenAnalyst","Cesar Pantoja, PhD"
408,"TokenAnalyst","Ankit Chiplunkar, PhD"
409,"TokenAnalyst","Jendrik Poloczek"
410,"TokenAnalyst","Sid Shekhar"
411,"TokenAnalyst","Jai Prasad"
412,"Bitcoin Club Malta","Leon SiegmundFounder"
413,"Coinfirm","Grant BlaisdellCo-Founder & CMO"
414,"Coinfirm","Jakub FijolekCo-Founder & CTO"
415,"Coinfirm","Pawel AleksanderCo-Founder & CIO"
416,"Coinfirm","Pawel KuskowskiCo-Founder & CEO"
417,"WTIA Cascadia Blockchain Council","Mark Mueller-EbersteinCEO, Adgetec"
418,"WTIA Cascadia Blockchain Council","Chris SpantonSr. Architect – Blockchain, T-Mobile"
419,"WTIA Cascadia Blockchain Council","Pamela DingleDirector, Identity Standards, Microsoft"
420,"WTIA Cascadia Blockchain Council","Jesse ProudmanFounder, Strix Leviathan"
421,"WTIA Cascadia Blockchain Council","John deVadossHead of Development at NEO"
422,"WTIA Cascadia Blockchain Council","Jesse AdamsCEO, Tenta Browser"
423,"WTIA Cascadia Blockchain Council","Joe CutlerPartner, Perkins Coie"
424,"WTIA Cascadia Blockchain Council","Robert MaoFounder and CEO of ArcBlock, Inc"
425,"WTIA Cascadia Blockchain Council","Lawrence LernerPresident of Consulting, Dragonchain"
426,"WTIA Cascadia Blockchain Council","Dr. Joseph WilliamsICT Sector Lead, WA Dept of Commerce"
427,"WTIA Cascadia Blockchain Council","Michael SchutzlerCEO, WTIA"
428,"WTIA Cascadia Blockchain Council","Arry YuChair"
429,"Ripple","Ron WillChief Financial Officer"
430,"Ripple","Eric Van MiltenburgSVP of Business Operations"
431,"Ripple","Marcus TreacherSVP of Customer Success"
432,"Ripple","John MitchellSVP of Global Sales"
433,"Ripple","Monica LongSVP of Marketing and Communications"
434,"Ripple","Sandi KochharVP of People"
435,"Ripple","Christopher KanaanSVP of Engineering"
436,"Ripple","Cory JohnsonChief Market Strategist"
437,"Ripple","Kahina Van DykeSVP of Business and Corporate Development"
438,"Ripple","Asheesh BirlaSVP of Product"
439,"Ripple","Ethan BeardSVP of Xpring"
440,"Ripple","David SchwartzCTO"
441,"Ripple","Brad GarlinghouseCEO"
442,"EAK Digital","Erhan KorhalillerFounder/CEO"
443,"R3","Brian McnultyHead Of Services"
444,"R3","Alisa DicaprioHead Of Research"
445,"R3","Adam FurgalHead Of Delivery Services"
446,"R3","Todd McdonaldCo-founder, Head Of Partnerships"
447,"R3","Jesse EdwardsCo-founder, Head Of Corporate Development"
448,"R3","David E. RutterFounder, Chief Executive Officer"
449,"Band Protocol","Soravis SrinawakoonCEO & Co-Founder"
450,"Messari","Dan McArdleCTO"
451,"Messari","Ryan SelkisCEO & Co-Founder"
452,"Blockstream","Gregory MaxwellFormer Co-Founder & CTO"
453,"Blockstream","Samson MowChief Strategy Officer"
454,"Blockstream","Erik SvensonCo-Founder and Chief Operating Officer"
455,"Blockstream","Mark FriedenbachCo-Founder and Infrastructure Tech Engineer"
456,"Blockstream","Jonathan WilkinsCo-Founder and Chief Security Officer"
457,"Blockstream","Pieter WuilleCo-Founder and Core Tech Engineer"
458,"Blockstream","Adam BackCo-Founder & CEO"
459,"Overbit","Chieh LiuCEO & Founder"
460,"OpenCrowd","Brad BuckHead of Financial Services"
461,"OpenCrowd","Shawn TraynorHead of Solutions"
462,"OpenCrowd","Sushil PrabhuCEO & President"
463,"Draper Goren Holm","Rodney SampsonVenture Partner"
464,"Draper Goren Holm","Shruthi RaoVenture Partner"
465,"Draper Goren Holm","David BleznakVenture Partner"
466,"Draper Goren Holm","Josef HolmFounding Partner"
467,"Draper Goren Holm","Alon GorenFounding Partner"
468,"Draper Goren Holm","Tim DraperSpecial Limited Partner, Borad Member"
469,"Digital Assets Data","Mary AlfredVP of Operations & Legal"
470,"Digital Assets Data","Chris FerraroCTO & VP of Engineering"
471,"Digital Assets Data","Kurt FenstermacherCOO & Co-Founder"
472,"Digital Assets Data","Ryan AlfredPresident"
473,"Digital Assets Data","Mike AlfredCEO & Co-Founder"
474,"Gemini","Tyler WinklevossCo-Founder & CEO"
475,"Gemini","Cameron WinklevossCo-Founder & President"
476,"Neo Foundation","John deVadossHead of Development, North America"
477,"Neo Foundation","Lili ZhaoDirector of Neo Global Development"
478,"Neo Foundation","Erik ZhangCo-Founder of Neo, Chair of Neo Foundation"
479,"Neo Foundation","Da HongfeiCo-Founder of Neo, Chair of Neo Foundation, CEO of NGD"
480,"Santiment","Yura ZatsepinProduct Dev Lead"
481,"Santiment","Valentin MihovCTO"
482,"Santiment","Maksim BalashevichFounder"
483,"Securitize","Shay FinkelsteinCTO / Co-Founder"
484,"Securitize","Jamie FinnPresident / Co-Founder"
485,"Securitize","Carlos DomingoCEO / Co-Founder"
486,"Celsius Network","Aliza LandesVP Lending"
487,"Celsius Network","Liz RabbanVP of Global Business Development"
488,"Celsius Network","Jeremie BeaudryCCO and GC"
489,"Celsius Network","Young ChoCFO"
